op,subop,fraccion_tochos,fecha_planeada,orden
34,1,1,20190821,3
34,2,1,20190821,1
34,3,1,20190821,2
34,4,1,20190822,1
34,5,1,20190822,3
34,6,1,20190822,2
34,7,1,20190823,1
34,8,1,20190823,2
35,1,1,20190823,3
35,2,1,20190826,1
34,5,0.4736842105,20190826,2
35,1,0.2121212121,20190826,3
36,1,0.5,20190826,4
36,1,1,20190827,1
36,2,1,20190827,2
36,1,0.5,20190828,1
36,2,0.5,20190828,2
36,1,0.9833333333,20190829,2
37,1,1,20190829,1
38,3,1,20190830,1
38,2,1,20190830,2
38,1,1,20190830,3
38,1,0.8888888889,20190903,1
36,1,0.3166666667,20190903,2
36,1,0.6333333333,20190904,1
39,1,1,20190904,2
39,2,1,20190904,3
39,3,1,20190904,4
39,4,1,20190904,5
39,5,1,20190904,6
39,6,1,20190904,7
36,2,0.5,20190905,2
40,1,1,20190905,1
41,3,1,20190909,1
41,4,1,20190909,2
41,1,0.5,20190909,3
41,2,0.6666666667,20190909,4
43,1,0.3770491803,20190912,1
44,1,1,20190912,2
40,3,0.4545454545,20190912,3
40,2,0.2666666667,20190913,1
44,2,1,20190913,2
44,3,1,20190913,3
40,2,0.5,20190916,1
40,1,0.5,20190916,2
45,2,1,20190917,1
42,1,1,20190917,2
45,1,1,20190917,3
45,3,1,20190918,1
45,4,1,20190918,2
46,1,1,20190918,3
46,2,1,20190918,4
46,1,1,20190919,1
46,2,1,20190919,2
46,4,1,20190919,3
40,2,0.9333333333,20190923,1
45,1,0.36,20190923,2
47,1,0.4347826087,20190923,3
47,1,0.6956521739,20190924,1
48,4,1,20190924,2
48,5,1,20190924,3
48,2,1,20190924,4
40,1,0.475,20190925,1
46,3,0.7466666667,20190925,2
46,4,1,20190925,3
49,1,1,20190926,1
49,8,1,20190926,2
49,5,1,20190926,3
49,8,0.7111111111,20190930,1
49,5,1,20190930,2
49,3,1,20190930,3
49,4,1,20191001,1
49,3,0.5416666667,20191001,1
49,4,1,20191003,1
49,3,0.5416666667,20191003,2
50,4,1,20191004,1
50,5,1,20191004,2
50,3,1,20191004,3
51,1,1,20191004,4
51,2,1,20191004,5
51,3,1,20191004,6
51,4,1,20191004,7
50,1,0.3896103896,20191007,1
48,2,0.25,20191007,2
50,2,1,20191007,3
39,2,0.7058823529,20191007,4
50,6,1,20191007,5
47,1,0.5434782609,20191008,1
49,7,1,20191008,2
50,3,0.8421052632,20191008,3
52,1,1,20191008,4
46,4,0.7692307692,20191009,1
50,3,0.8157894737,20191009,2
52,1,1,20191009,3
49,2,1,20191009,4
53,1,1,20191011,1
49,2,1,20191011,2
50,2,0.8148148148,20191011,3
47,1,0.3695652174,20191014,1
46,4,0.6153846154,20191014,2
47,1,0.3260869565,20191015,1
54,2,0.5395683453,20191015,2
54,2,0.5827338129,20191016,1
54,1,0.8035714286,20191016,2
54,1,0.1785714286,20191017,1
55,3,1,20191017,2
55,1,1,20191017,3
55,2,1,20191017,4
54,7,0.5853658537,20191017,5
56,1,1,20191018,1
59,1,1,20191028,1
59,2,1,20191028,1
59,2,1,20191029,1
54,6,0.5,20191029,2
49,1,0.5714285714,20191030,1
59,2,1,20191030,2
59,4,1,20191030,3
60,1,1,20191031,1
60,2,1,20191031,2
60,2,0.3023255814,20191101,1
60,3,1,20191101,2
54,5,0.3289473684,20191101,3
61,2,1,20191104,1
54,5,0.9868421053,20191104,2
62,1,0.825,20191107,1
62,2,1,20191107,2
62,5,1,20191108,1
62,6,1,20191108,2
62,3,1,20191108,3
49,1,0.4285714286,20191108,4
49,2,0.6,20191202,1
54,5,0.2368421053,20191202,2
67,1,1,20191202,3
68,1,1,20191209,1
