nro_op,fecha_generacion,id_responsable
2,20190325,0
4,20190410,0
7,20190522,0
8,20190526,0
9,20190610,0
10,20190612,0
11,20190615,0
12,20190619,0
13,20190620,0
14,20190624,0
15,20190624,0
16,20190701,0
17,20190702,0
18,20190702,0
19,20190708,0
21,20190709,0
22,20190710,0
23,20190712,0
24,20190716,0
25,20190718,0
26,20190718,0
27,20190723,0
28,20190725,0
29,20190725,0
30,20190726,0
31,20190806,0
32,20190808,0
33,20190812,0
34,20190820,0
35,20190821,0
36,20190823,0
37,20190828,0
38,20190828,0
39,20190902,0
40,20190903,0
41,20190805,0
42,20190909,0
43,20190910,0
44,20190911,0
45,20190916,0
46,20190917,0
47,20190919,0
48,20190923,0
49,20190925,0
50,20190930,0
51,20191003,0
52,20191008,0
53,20191010,0
54,20191014,0
55,20191016,0
56,20191016,0
57,20191022,0
58,20191024,0
59,20191027,0
60,20191030,0
61,20191103,0
62,20191106,0
63,20191112,0
64,20191125,0
65,20191126,0
66,20191127,0
67,20191129,0
68,20191202,0
69,20191209,0
70,20191211,0
71,20191217,0
72,20191218,0
73,20200103,0
74,20200107,0
75,20200109,0
76,20200114,0
77,20200123,0
78,20200128,0
79,20200203,0
80,20200205,0
81,20200210,0
82,20200212,0
83,20200219,0
84,20200225,0
85,20200226,0
86,20200303,0
87,20200311,13
88,20200313,13
89,20200319,13
90,20200428,0
91,20200429,13
92,20200505,13
93,20200518,0
94,20200521,0
95,20200528,0
96,20200601,0
